ID,Name,Fat (g),Protein (g),Carbohydrate (g)
788432,Peas Green Canned Low Sodium Made With Margarine,2.22,4.89,14.97
788433,Pigeon Peas Cooked Ns As To Form Fat Not Added In Cooking,1.35,5.92,19.36
788434,Pigeon Peas Cooked From Fresh Fat Not Added In Cooking,1.35,5.92,19.36
788435,Pigeon Peas Cooked From Canned Fat Not Added In Cooking,1.35,5.92,19.36
788436,Pigeon Peas Cooked Ns As To Form Ns As To Fat Added In Cooking,3.47,5.76,18.8
788437,Pigeon Peas Cooked Ns As To Form Fat Added In Cooking,3.47,5.76,18.8
788438,Pigeon Peas Cooked From Fresh Ns As To Fat Added In Cooking,3.47,5.76,18.8
788439,Pigeon Peas Cooked From Fresh Fat Added In Cooking,3.47,5.76,18.8
788440,Pigeon Peas Cooked From Canned Ns As To Fat Added In Cooking,3.47,5.76,18.8
788441,Pigeon Peas Cooked From Canned Fat Added In Cooking,3.47,5.76,18.8
788442,Peppers Green Cooked Ns As To Fat Added In Cooking,2.61,0.9,6.44
788443,Peppers Green Cooked Fat Not Added In Cooking,0.2,0.91,6.65
788444,Peppers Green Cooked Fat Added In Cooking Ns As To Type Of Fat,2.61,0.9,6.44
788445,Peppers Green Cooked Made With Oil,3.4,0.88,6.44
788446,Peppers Green Cooked Made With Butter,2.9,0.91,6.43
788447,Peppers Green Cooked Made With Margarine,2.2,0.89,6.46
788448,Peppers Red Cooked Ns As To Fat Added In Cooking,2.61,0.9,6.44
788449,Peppers Red Cooked Fat Not Added In Cooking,0.2,0.91,6.65
788450,Peppers Red Cooked Fat Added In Cooking Ns As To Type Of Fat,2.61,0.9,6.44
788451,Peppers Red Cooked Made With Oil,3.4,0.88,6.44
788452,Peppers Red Cooked Made With Butter,2.9,0.91,6.43
788453,Peppers Red Cooked Made With Margarine,2.2,0.89,6.46
788454,Peppers Hot Cooked Ns As To Form Ns As To Fat Added In Cooking,2.53,2.03,9.51
788455,Peppers Hot Cooked From Fresh Ns As To Fat Added In Cooking,2.53,2.03,9.51
788456,Peppers Hot Cooked From Frozen Ns As To Fat Added In Cooking,2.53,2.03,9.51
788457,Peppers Hot Cooked From Canned Ns As To Fat Added In Cooking,2.43,0.92,5.13
788458,Peppers Hot Cooked Ns As To Form Fat Not Added In Cooking,0.21,2.07,9.8
788459,Peppers Hot Cooked From Fresh Fat Not Added In Cooking,0.21,2.07,9.8
788460,Peppers Hot Cooked From Frozen Fat Not Added In Cooking,0.21,2.07,9.8
788461,Peppers Hot Cooked From Canned Fat Not Added In Cooking,0.1,0.93,5.28
788462,Peppers Hot Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.53,2.03,9.51
788463,Peppers Hot Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.53,2.03,9.51
788464,Peppers Hot Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.53,2.03,9.51
788465,Peppers Hot Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.43,0.92,5.13
788466,Pimiento,0.37,1.35,6.24
788467,Radish Daikon Cooked Ns As To Fat Added In Cooking,3.19,0.65,3.31
788468,Radish Daikon Cooked Fat Not Added In Cooking,0.24,0.66,3.41
788469,Radish Daikon Cooked Fat Added In Cooking,3.21,0.65,3.3
788470,Rutabaga Cooked Ns As To Fat Added In Cooking,2.13,0.92,6.63
788471,Rutabaga Cooked Fat Not Added In Cooking,0.18,0.92,6.8
788472,Rutabaga Cooked Fat Added In Cooking Ns As To Type Of Fat,2.13,0.92,6.63
788473,Rutabaga Cooked Made With Oil,2.76,0.9,6.62
788474,Rutabaga Cooked Made With Butter,2.36,0.92,6.62
788475,Rutabaga Cooked Made With Margarine,1.8,0.9,6.64
788476,Salsify Cooked Ns As To Fat Added In Cooking,2.6,2.64,14.75
788477,Salsify Cooked Fat Not Added In Cooking,0.17,2.71,15.25
788478,Salsify Cooked Fat Added In Cooking,2.6,2.64,14.75
788479,Sauerkraut Cooked Ns As To Fat Added In Cooking,2.48,0.9,4.15
788481,Sauerkraut Cooked Fat Added In Cooking,1.56,0.9,4.2
788482,Snowpea Cooked Ns As To Form Ns As To Fat Added In Cooking,3.11,3.38,8.72
788483,Snowpea Cooked From Fresh Ns As To Fat Added In Cooking,2.97,3.16,6.81
788484,Snowpea Cooked From Frozen Ns As To Fat Added In Cooking,3.11,3.38,8.72
788485,Snowpea Cooked Ns As To Form Fat Not Added In Cooking,0.38,3.48,8.96
788486,Snowpea Cooked From Fresh Fat Not Added In Cooking,0.23,3.25,7.01
788487,Snowpea Cooked From Frozen Fat Not Added In Cooking,0.38,3.48,8.96
788488,Snowpea Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,3.11,3.38,8.72
788489,Snowpea Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.97,3.16,6.81
788490,Snowpea Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,3.11,3.38,8.72
788491,Snowpea Cooked Ns As To Form Made With Oil,3.11,3.38,8.72
788492,Snowpea Cooked Ns As To Form Made With Butter,2.68,3.4,8.71
788493,Snowpea Cooked Ns As To Form Made With Margarine,2.09,3.38,8.73
788494,Snowpea Cooked From Fresh Made With Oil,2.97,3.16,6.81
788495,Snowpea Cooked From Fresh Made With Butter,2.54,3.18,6.81
788496,Snowpea Cooked From Fresh Made With Margarine,1.94,3.16,6.83
788497,Snowpea Cooked From Frozen Made With Oil,3.11,3.38,8.72
788498,Snowpea Cooked From Frozen Made With Butter,2.68,3.4,8.71
788499,Snowpea Cooked From Frozen Made With Margarine,2.09,3.38,8.73
788501,Seaweed Prepared With Soy Sauce,0.5,4.15,7.52
788502,Seaweed Cooked Ns As To Fat Added In Cooking,3.35,5.6,4.92
788504,Seaweed Cooked Fat Added In Cooking Ns As To Type Of Fat,3.35,5.6,4.92
788505,Seaweed Cooked Made With Oil,3.35,5.6,4.92
788506,Seaweed Cooked Made With Butter,2.77,5.62,4.92
788508,Squash Summer Yellow Or Green Cooked Ns As To Form Ns As To Fat Added In Cooking,1.76,1.19,4.36
788509,Squash Summer Yellow Or Green Cooked From Fresh Ns As To Fat Added In Cooking,2.15,0.9,4.19
788510,Squash Summer Yellow Or Green Cooked From Frozen Ns As To Fat Added In Cooking,1.76,1.19,4.36
788511,Squash Summer Yellow Or Green Cooked From Canned Ns As To Fat Added In Cooking,1.62,0.61,2.89
788512,Squash Summer Yellow Or Green Cooked Ns As To Form Fat Not Added In Cooking,0.16,1.2,4.45
788513,Squash Summer Yellow Or Green Cooked From Fresh Fat Not Added In Cooking,0.31,0.9,4.29
788514,Squash Summer Yellow Or Green Cooked From Frozen Fat Not Added In Cooking,0.16,1.2,4.45
788515,Squash Summer Yellow Or Green Cooked From Canned Fat Not Added In Cooking,0.07,0.61,2.95
788516,Squash Summer Yellow Or Green Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,1.76,1.19,4.36
788517,Squash Summer Yellow Or Green Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.15,0.9,4.19
788518,Squash Summer Yellow Or Green Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,1.76,1.19,4.36
788519,Squash Summer Yellow Or Green Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,1.62,0.61,2.89
788520,Squash Summer Yellow Or Green Cooked Ns As To Form Made With Oil,2.28,1.18,4.36
788521,Squash Summer Yellow Or Green Cooked Ns As To Form Made With Butter,1.95,1.2,4.36
788522,Squash Summer Yellow Or Green Cooked Ns As To Form Made With Margarine,1.49,1.18,4.37
788523,Squash Summer Yellow Or Green Cooked From Fresh Made With Oil,2.75,0.88,4.18
788524,Squash Summer Yellow Or Green Cooked From Fresh Made With Butter,2.37,0.9,4.18
788525,Squash Summer Yellow Or Green Cooked From Fresh Made With Margarine,1.84,0.89,4.2
788526,Squash Summer Yellow Or Green Cooked From Frozen Made With Oil,2.49,1.24,5.38
788527,Squash Summer Yellow Or Green Cooked From Frozen Made With Butter,2.13,1.26,5.38
788528,Squash Summer Yellow Or Green Cooked From Frozen Made With Margarine,1.64,1.25,5.4
788529,Squash Summer Yellow Or Green Cooked From Canned Made With Oil,2.12,0.6,2.89
788530,Squash Summer Yellow Or Green Cooked From Canned Made With Butter,1.8,0.61,2.88
788531,Squash Summer Yellow Or Green Cooked From Canned Made With Margarine,1.36,0.6,2.9
788532,Squash Spaghetti Cooked Ns As To Fat Added In Cooking,2.4,0.66,6.27
788533,Squash Spaghetti Cooked Fat Added In Cooking Ns As To Type Of Fat,2.39,0.65,6.24
788534,Squash Spaghetti Cooked Fat Not Added In Cooking,0.26,0.66,6.42
788535,Squash Spaghetti Cooked Made With Oil,3.08,0.64,6.24
788536,Squash Spaghetti Cooked Made With Butter,2.64,0.66,6.23
788537,Squash Spaghetti Cooked Made With Margarine,2.03,0.64,6.25
788538,Turnip Cooked Ns As To Form Ns As To Fat Added In Cooking,2.35,1.49,4.21
788539,Turnip Cooked From Fresh Ns As To Fat Added In Cooking,2.2,0.7,4.89
788540,Turnip Cooked From Frozen Ns As To Fat Added In Cooking,2.35,1.49,4.21
788541,Turnip Cooked From Canned Ns As To Fat Added In Cooking,2.35,1.49,4.21
788542,Turnip Cooked Ns As To Form Fat Not Added In Cooking,0.24,1.52,4.32
788543,Turnip Cooked From Fresh Fat Not Added In Cooking,0.08,0.7,5.03
788544,Turnip Cooked From Frozen Fat Not Added In Cooking,0.24,1.52,4.32
788545,Turnip Cooked From Canned Fat Not Added In Cooking,0.08,0.7,5.03
788546,Turnip Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.35,1.49,4.21
788547,Turnip Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.2,0.7,4.89
788548,Turnip Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.35,1.49,4.21
788549,Turnip Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.2,0.7,4.89
788550,Turnip Cooked From Canned Made With Oil,2.82,0.69,4.89
788551,Turnip Cooked From Canned Made With Butter,2.39,0.71,4.89
788552,Turnip Cooked From Canned Made With Margarine,1.8,0.69,4.91
788553,Turnip Cooked From Fresh Made With Oil,2.89,0.69,4.89
788554,Turnip Cooked From Fresh Made With Butter,2.45,0.71,4.88
788555,Turnip Cooked From Fresh Made With Margarine,1.84,0.69,4.9
788556,Turnip Cooked From Frozen Made With Oil,2.98,1.48,4.2
788557,Turnip Cooked From Frozen Made With Butter,2.6,1.5,4.2
788558,Turnip Cooked From Frozen Made With Margarine,2,1.48,4.22
788559,Turnip Cooked Ns As To Form Made With Oil,3.04,1.48,4.2
788560,Turnip Cooked Ns As To Form Made With Butter,2.6,1.5,4.2
788561,Turnip Cooked Ns As To Form Made With Margarine,2,1.48,4.22
788562,Water Chestnut,0.09,1.38,19.22
788563,Winter Melon Cooked,0.2,0.4,3.02
788566,Beans Lima And Corn Cooked Ns As To Fat Added In Cooking,2.81,4.18,19.31
788567,Beans Lima And Corn Cooked Fat Not Added In Cooking,0.88,4.28,19.83
788568,Beans Lima And Corn Cooked Fat Added In Cooking Ns As To Type Of Fat,2.81,4.18,19.31
788569,Beans Lima And Corn Cooked Made With Oil,3.45,4.17,19.32
788570,Beans Lima And Corn Cooked Made With Butter,3.04,4.19,19.3
788571,Beans Lima And Corn Cooked Made With Margarine,2.48,4.17,19.32
788572,Beans String Green With Tomatoes Cooked Ns As To Fat Added In Cooking,1.87,1.58,6.68
788573,Beans String Green With Tomatoes Cooked Fat Not Added In Cooking,0.29,1.61,6.82
788574,Beans String Green With Tomatoes Cooked Fat Added In Cooking,1.87,1.58,6.68
788575,Beans String Green With Chickpeas Cooked Ns As To Fat Added In Cooking,3.39,3.87,13.27
788576,Beans String Green With Chickpeas Cooked Fat Not Added In Cooking,0.98,3.98,13.72
788577,Beans String Green With Chickpeas Cooked Fat Added In Cooking,3.39,3.87,13.27
788578,Beans String Green With Almonds Cooked Ns As To Fat Added In Cooking,7.57,3.67,8.6
788579,Beans String Green With Almonds Cooked Fat Not Added In Cooking,5.36,3.78,8.87
788580,Beans String Green With Almonds Cooked Fat Added In Cooking Ns As To Type Of Fat,7.57,3.67,8.6
788581,Beans String Green With Almonds Cooked Made With Oil,8.35,3.66,8.6
788582,Beans String Green With Almonds Cooked Made With Butter,7.85,3.68,8.59
788583,Beans String Green With Almonds Cooked Made With Margarine,7.16,3.66,8.61
788584,Beans String Green With Pinto Beans Cooked Ns As To Fat Added In Cooking,2.79,3.97,13.09
788585,Beans String Green With Pinto Beans Cooked Fat Not Added In Cooking,0.39,4.09,13.52
788586,Beans String Green With Pinto Beans Cooked Fat Added In Cooking,2.79,3.97,13.09
788587,Beans String Green With Spaetzel Cooked Ns As To Fat Added In Cooking,3.24,2.59,12.52
788588,Beans String Green With Spaetzel Cooked Fat Not Added In Cooking,0.81,2.66,12.95
788589,Beans String Green With Spaetzel Cooked Fat Added In Cooking,3.24,2.59,12.52
788590,Bean Salad Yellow And/or Green String Beans,4.99,3.48,12.71
788591,Beans String Green With Onions Ns As To Fat Added In Cooking,2.5,1.65,8.38
788592,Beans String Green With Onions Cooked Fat Not Added In Cooking,0.25,1.69,8.64
788593,Beans String Green With Onions Cooked Fat Added In Cooking Ns As To Type Of Fat,2.5,1.65,8.38
788594,Beans String Green With Onions Cooked Made With Oil,3.23,1.64,8.38
788595,Beans String Green With Onions Cooked Made With Butter,2.76,1.66,8.37
788596,Beans String Green With Onions Cooked Made With Margarine,2.12,1.64,8.39
788597,Beans String Green And Potatoes Cooked Ns As To Fat Added In Cooking,2.52,1.74,14.05
788598,Beans String Green And Potatoes Cooked Fat Not Added In Cooking,0.18,1.78,14.51
788599,Beans String Green And Potatoes Cooked Fat Added In Cooking Ns As To Type Of Fat,2.52,1.74,14.05
788600,Beans String Green And Potatoes Cooked Made With Oil,3.28,1.72,14.06
788601,Beans String Green And Potatoes Cooked Made With Butter,2.8,1.75,14.04
788602,Beans String Green And Potatoes Cooked Made With Margarine,2.12,1.72,14.07
788603,Corn With Peppers Red Or Green Cooked Ns As To Fat Added In Cooking,3.28,2.79,17.27
788605,Corn With Peppers Red Or Green Cooked Fat Added In Cooking Ns As To Type Of Fat,3.28,2.79,17.27
788606,Corn With Peppers Red Or Green Cooked Made With Oil,3.97,2.77,17.28
788607,Corn With Peppers Red Or Green Cooked Made With Butter,3.53,2.79,17.26
788608,Corn With Peppers Red Or Green Cooked Made With Margarine,2.93,2.77,17.28
788609,Eggplant In Tomato Sauce Cooked Fat Not Added In Cooking,0.26,1,7.1
788610,Green Peppers And Onions Cooked Fat Not Added In Cooking,0.19,1.18,8.74
788611,Green Peppers And Onions Cooked Ns As To Fat Added In Cooking,2.11,1.16,8.52
788612,Green Peppers And Onions Cooked Fat Added In Cooking Ns As To Type Of Fat,2.11,1.16,8.52
788613,Green Peppers And Onions Cooked Made With Oil,2.73,1.15,8.52
788614,Green Peppers And Onions Cooked Made With Butter,2.33,1.17,8.51
788615,Green Peppers And Onions Cooked Made With Margarine,1.78,1.15,8.53
788616,Mixed Vegetables Cooked Ns As To Form Ns As To Fat Added In Cooking,1.97,2.79,12.7
788617,Mixed Vegetables Cooked From Frozen Ns As To Fat Added In Cooking,1.97,2.79,12.7
788618,Mixed Vegetables Cooked From Canned Ns As To Fat Added In Cooking,2.28,2.53,8.99
788619,Mixed Vegetables Cooked Ns As To Form Fat Not Added In Cooking,0.15,2.84,13.02
788620,Mixed Vegetables Cooked From Frozen Fat Not Added In Cooking,0.15,2.84,13.02
788621,Mixed Vegetables Cooked From Canned Fat Not Added In Cooking,0.25,2.58,9.24
788622,Mixed Vegetables Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,1.97,2.79,12.7
788623,Mixed Vegetables Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,1.97,2.79,12.7
788624,Mixed Vegetables Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.28,2.53,8.99
788625,Mixed Vegetables Cooked Ns As To Form Made With Oil,2.57,2.78,12.7
788626,Mixed Vegetables Cooked Ns As To Form Made With Butter,2.19,2.79,12.69
788627,Mixed Vegetables Cooked Ns As To Form Made With Margarine,1.66,2.78,12.71
788628,Mixed Vegetables Cooked From Frozen Made With Oil,2.57,2.78,12.7
788629,Mixed Vegetables Cooked From Frozen Made With Butter,2.19,2.79,12.69
788630,Mixed Vegetables Cooked From Frozen Made With Margarine,1.66,2.78,12.71
788631,Mixed Vegetables Cooked From Canned Made With Oil,2.95,2.51,8.99
788632,Mixed Vegetables Cooked From Canned Made With Butter,2.52,2.54,8.98
788633,Mixed Vegetables Cooked From Canned Made With Margarine,1.94,2.52,9
788634,Mixed Vegetables Canned Low Sodium Ns As To Fat Added In Cooking,2.03,1.38,7.13
788636,Mixed Vegetables Canned Low Sodium Fat Added In Cooking Ns As To Type Of Fat,2.03,1.38,7.13
788637,Mixed Vegetables Canned Low Sodium Made With Oil,2.63,1.37,7.13
788638,Mixed Vegetables Canned Low Sodium Made With Butter,2.25,1.39,7.13
788639,Mixed Vegetables Canned Low Sodium Made With Margarine,1.72,1.37,7.14
788640,Peas And Corn Cooked Ns As To Fat Added In Cooking,2.88,4.24,17.72
788641,Peas And Corn Cooked Fat Not Added In Cooking,0.86,4.35,18.23
788642,Peas And Corn Cooked Fat Added In Cooking Ns As To Type Of Fat,2.88,4.24,17.72
788643,Peas And Corn Cooked Made With Oil,3.55,4.23,17.73
788644,Peas And Corn Cooked Made With Butter,3.12,4.25,17.71
788645,Peas And Corn Cooked Made With Margarine,2.54,4.23,17.73
788646,Peas And Onions Cooked Ns As To Fat Added In Cooking,2.04,2.48,8.37
788647,Peas And Onions Cooked Fat Not Added In Cooking,0.2,2.53,8.58
788648,Peas And Onions Cooked Fat Added In Cooking Ns As To Type Of Fat,2.04,2.48,8.37
788649,Peas And Onions Cooked Made With Oil,2.64,2.46,8.37
788650,Peas And Onions Cooked Made With Butter,2.26,2.48,8.36
788651,Peas And Onions Cooked Made With Margarine,1.73,2.46,8.38
788652,Peas And Mushrooms Cooked Ns As To Fat Added In Cooking,2.39,4.28,11.65
788653,Peas And Mushrooms Cooked Fat Not Added In Cooking,0.32,4.39,11.98
788654,Peas And Mushrooms Cooked Fat Added In Cooking Ns As To Type Of Fat,2.39,4.28,11.65
788655,Peas And Mushrooms Cooked Made With Oil,3.07,4.27,11.65
788656,Peas And Mushrooms Cooked Made With Butter,2.64,4.29,11.64
788657,Peas And Mushrooms Cooked Made With Margarine,2.04,4.27,11.66
788658,Cowpeas With Snap Beans Cooked Ns As To Fat Added In Cooking,3.18,2.81,17.2
788659,Cowpeas With Snap Beans Cooked Fat Not Added In Cooking,0.36,2.89,17.7
788660,Cowpeas With Snap Beans Cooked Fat Added In Cooking,2.48,2.82,17.19
788661,Peas And Potatoes Cooked Fat Not Added In Cooking,0.16,3.54,17.68
788662,Peas And Potatoes Cooked Ns As To Fat Added In Cooking,2.25,3.45,17.18
788663,Peas And Potatoes Cooked Fat Added In Cooking Ns As To Type Of Fat,2.25,3.45,17.18
788664,Peas And Potatoes Cooked Made With Oil,2.93,3.44,17.19
788665,Peas And Potatoes Cooked Made With Butter,2.5,3.46,17.17
788666,Peas And Potatoes Cooked Made With Margarine,1.9,3.44,17.19
788667,Squash Summer Yellow Or Green And Onions Cooked Ns As To Fat Added In Cooking,2.04,1.02,5.78
788668,Squash Summer Yellow Or Green And Onions Cooked Fat Not Added In Cooking,0.28,1.03,5.91
788669,Squash Summer Yellow Or Green And Onions Cooked Fat Added In Cooking,2.04,1.02,5.78
788670,Squash Summer Yellow Or Green And Onions Cooked Made With Oil,2.62,1.01,5.78
788671,Squash Summer Yellow Or Green And Onions Cooked Made With Butter,2.25,1.03,5.77
788672,Squash Summer Yellow Or Green And Onions Cooked Made With Margarine,1.74,1.01,5.79
788673,Squash Summer Yellow Or Green With Tomato Sauce Cooked Fat Not Added In Cooking,0.31,1,4.62
788674,Squash Summer Yellow Or Green With Tomato Sauce Cooked Fat Added In Cooking,1.57,1,4.55
788675,Squash Summer Yellow Or Green With Tomato Sauce Cooked Ns As To Fat Added In Cooking,1.57,1,4.55
788676,Ratatouille,4.6,1,6
788677,Vegetables Stew Type Cooked Ns As To Fat Added In Cooking,2.56,1.05,11.72
788678,Vegetables Stew Type Cooked Fat Added In Cooking Ns As To Type Of Fat,2.56,1.05,11.72
788679,Vegetables Stew Type Cooked Made With Oil,3.41,1.04,11.71
788680,Vegetables Stew Type Cooked Made With Butter,2.83,1.06,11.71
788681,Vegetables Stew Type Cooked Made With Margarine,2.17,1.04,11.74
788682,Vegetables Stew Type Cooked Fat Not Added In Cooking,0.34,1.07,12.08
788683,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Ns As To Fat Added In Cooking,2.61,1.44,6.44
788684,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Fat Not Added In Cooking,0.3,1.46,6.64
788685,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Fat Added In Cooking Ns As To Type Of Fat,2.6,1.44,6.44
788686,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Made With Oil,3.35,1.42,6.44
788687,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Made With Butter,2.87,1.44,6.43
788688,Vegetable Combination Including Carrots Broccoli And/or Dark-Green Leafy; Cooked No Sauce Made With Margarine,2.21,1.42,6.45
788689,Vegetable Combination Excluding Carrots Broccoli And Dark-Green Leafy; Cooked No Sauce Ns As To Fat Added In Cooking,2.42,2.53,11.98
